article,title
"digging himself deeper into a controversy over the ##th anniversary of the nazis ' surrender , helmut kohl on thursday defended his decision not to invite poland 's leaders to the may # ceremony in berlin .",tempers flare over v-e day as kohl defends snub to poland
"north korea seized south korean-owned assets at a mountain resort friday , warning that the two countries were on the brink of war over the sinking of a warship on their disputed border .",n. korea seizes s. korean assets warns of war
the austrian government gave its approval tuesday to the full privatisation of ailing national flag carrier austrian airlines -lrb- aua -rrb- .,austria gives green light to privatisation of aua
"dispersants mixed with crude are no more toxic to marine life than oil alone and the type of dispersant used by bp in the gulf of mexico is no worse than the alternatives , a study showed monday .",tests show bp dispersant no worse than the others
rescue teams with sniffer dogs struggled for a third day saturday to enter the ruined hulk of a giant hotel in padang where foreign tourists and at least eight survivors are thought buried .,wrecked hotel becomes focal point of quake rescue effort
"the european parliament on wednesday approved a euro-mediterranean trade agreement with the plo , acting as representative of the palestinian authority .",european parliament votes plo trade accord
"brian steen nielsen , a former international who plays for denmark 's agf club , has become the first player to be suspended in this scandinavian country for foul play spotted on video after a game , the danish soccer association said friday .",former international brian <unk> nielsen suspended in first danish video evidence case
"germany 's economy , europe 's largest , grew #.# percent in the first quarter of #### as a global recovery boosted demand for its high-value exports , the federal statistics office said wednesday .",german economy grows #.# percent in q#
the united states today succeeded in blocking a request by the european union for a world trade organization -lrb- wto -rrb- panel to review the u.s. helms-burton law .,u.s. blocks eu bid for arbitration over helms-burton law
"the ##th urumqi trade fair , china 's only business event targeting central , west and south asia , opened tuesday , nearly two months after a riot in the city .",urumqi trade fair opens
